word,d_mean,r_mean,mean_diff,d_count,r_count
rights,-0.11371166455347176,0.036582666479372826,0.1502943310328446,61,16
safety,-0.07395989349858352,-0.0021854722681322785,0.07177442123045125,78,26
regulation,-0.056426621653125106,0.029851758498699,0.08627838015182411,34,11
innovation,-0.056206856070597985,0.02706446427082155,0.08327132034141954,130,103
security,-0.02700107904701736,0.05413203793162,0.08113311697863736,96,97
privacy,-0.08416408770984399,0.017397704634006337,0.10156179234385032,94,43
